game,agent_mark,ply,board,player,action,after
31,O,6,..OXXO..X,O,0,O.OXXO..X
31,O,7,O.OXXO..X,X,1,OXOXXO..X
31,O,8,OXOXXO..X,O,7,OXOXXO.OX
31,O,9,OXOXXO.OX,X,6,OXOXXOXOX
32,X,1,.........,X,4,....X....
32,X,2,....X....,O,8,....X...O
32,X,3,....X...O,X,5,....XX..O
32,X,4,....XX..O,O,1,.O..XX..O
32,X,5,.O..XX..O,X,3,.O.XXX..O
33,O,1,.........,X,2,..X......
33,O,2,..X......,O,7,..X....O.
33,O,3,..X....O.,X,0,X.X....O.
33,O,4,X.X....O.,O,6,X.X...OO.
33,O,5,X.X...OO.,X,3,X.XX..OO.
33,O,6,X.XX..OO.,O,1,XOXX..OO.
33,O,7,XOXX..OO.,X,5,XOXX.XOO.
33,O,8,XOXX.XOO.,O,4,XOXXOXOO.
34,X,1,.........,X,4,....X....
34,X,2,....X....,O,8,....X...O
34,X,3,....X...O,X,5,....XX..O
34,X,4,....XX..O,O,3,...OXX..O
34,X,5,...OXX..O,X,2,..XOXX..O
34,X,6,..XOXX..O,O,6,..XOXXO.O
34,X,7,..XOXXO.O,X,7,..XOXXOXO
34,X,8,..XOXXOXO,O,1,.OXOXXOXO
34,X,9,.OXOXXOXO,X,0,XOXOXXOXO
35,O,1,.........,X,7,.......X.
35,O,2,.......X.,O,0,O......X.
35,O,3,O......X.,X,1,OX.....X.
35,O,4,OX.....X.,O,4,OX..O..X.
35,O,5,OX..O..X.,X,8,OX..O..XX
35,O,6,OX..O..XX,O,6,OX..O.OXX
35,O,7,OX..O.OXX,X,3,OX.XO.OXX
35,O,8,OX.XO.OXX,O,2,OXOXO.OXX
36,X,1,.........,X,4,....X....
36,X,2,....X....,O,7,....X..O.
36,X,3,....X..O.,X,5,....XX.O.
36,X,4,....XX.O.,O,2,..O.XX.O.
36,X,5,..O.XX.O.,X,6,..O.XXXO.
36,X,6,..O.XXXO.,O,3,..OOXXXO.
36,X,7,..OOXXXO.,X,8,..OOXXXOX
36,X,8,..OOXXXOX,O,0,O.OOXXXOX
36,X,9,O.OOXXXOX,X,1,OXOOXXXOX
37,O,1,.........,X,1,.X.......
37,O,2,.X.......,O,2,.XO......
37,O,3,.XO......,X,4,.XO.X....
37,O,4,.XO.X....,O,7,.XO.X..O.
37,O,5,.XO.X..O.,X,6,.XO.X.XO.
37,O,6,.XO.X.XO.,O,8,.XO.X.XOO
37,O,7,.XO.X.XOO,X,0,XXO.X.XOO
37,O,8,XXO.X.XOO,O,5,XXO.XOXOO
38,X,1,.........,X,4,....X....
38,X,2,....X....,O,1,.O..X....
38,X,3,.O..X....,X,0,XO..X....
38,X,4,XO..X....,O,2,XOO.X....
38,X,5,XOO.X....,X,6,XOO.X.X..
38,X,6,XOO.X.X..,O,8,XOO.X.X.O
38,X,7,XOO.X.X.O,X,3,XOOXX.X.O
39,O,1,.........,X,7,.......X.
39,O,2,.......X.,O,0,O......X.
39,O,3,O......X.,X,6,O.....XX.
39,O,4,O.....XX.,O,4,O...O.XX.
39,O,5,O...O.XX.,X,8,O...O.XXX
40,X,1,.........,X,4,....X....
40,X,2,....X....,O,0,O...X....
40,X,3,O...X....,X,1,OX..X....
40,X,4,OX..X....,O,2,OXO.X....
40,X,5,OXO.X....,X,3,OXOXX....
40,X,6,OXOXX....,O,6,OXOXX.O..
40,X,7,OXOXX.O..,X,7,OXOXX.OX.
41,O,1,.........,X,1,.X.......
41,O,2,.X.......,O,2,.XO......
41,O,3,.XO......,X,4,.XO.X....
41,O,4,.XO.X....,O,7,.XO.X..O.
41,O,5,.XO.X..O.,X,6,.XO.X.XO.
41,O,6,.XO.X.XO.,O,8,.XO.X.XOO
41,O,7,.XO.X.XOO,X,3,.XOXX.XOO
41,O,8,.XOXX.XOO,O,5,.XOXXOXOO
42,X,1,.........,X,4,....X....
42,X,2,....X....,O,6,....X.O..
42,X,3,....X.O..,X,8,....X.O.X
42,X,4,....X.O.X,O,5,....XOO.X
42,X,5,....XOO.X,X,0,X...XOO.X
43,O,1,.........,X,1,.X.......
43,O,2,.X.......,O,2,.XO......
43,O,3,.XO......,X,8,.XO.....X
43,O,4,.XO.....X,O,4,.XO.O...X
43,O,5,.XO.O...X,X,7,.XO.O..XX
43,O,6,.XO.O..XX,O,6,.XO.O.OXX
44,X,1,.........,X,4,....X....
44,X,2,....X....,O,5,....XO...
44,X,3,....XO...,X,8,....XO..X
44,X,4,....XO..X,O,0,O...XO..X
44,X,5,O...XO..X,X,2,O.X.XO..X
44,X,6,O.X.XO..X,O,7,O.X.XO.OX
44,X,7,O.X.XO.OX,X,1,OXX.XO.OX
44,X,8,OXX.XO.OX,O,3,OXXOXO.OX
44,X,9,OXXOXO.OX,X,6,OXXOXOXOX
45,O,1,.........,X,8,........X
45,O,2,........X,O,4,....O...X
45,O,3,....O...X,X,7,....O..XX
45,O,4,....O..XX,O,6,....O.OXX
45,O,5,....O.OXX,X,0,X...O.OXX
45,O,6,X...O.OXX,O,5,X...OOOXX
45,O,7,X...OOOXX,X,2,X.X.OOOXX
45,O,8,X.X.OOOXX,O,3,X.XOOOOXX
46,X,1,.........,X,4,....X....
46,X,2,....X....,O,8,....X...O
46,X,3,....X...O,X,5,....XX..O
46,X,4,....XX..O,O,6,....XXO.O
46,X,5,....XXO.O,X,3,...XXXO.O
47,O,1,.........,X,5,.....X...
47,O,2,.....X...,O,8,.....X..O
47,O,3,.....X..O,X,3,...X.X..O
47,O,4,...X.X..O,O,1,.O.X.X..O
47,O,5,.O.X.X..O,X,6,.O.X.XX.O
47,O,6,.O.X.XX.O,O,7,.O.X.XXOO
47,O,7,.O.X.XXOO,X,0,XO.X.XXOO
48,X,1,.........,X,4,....X....
48,X,2,....X....,O,5,....XO...
48,X,3,....XO...,X,8,....XO..X
48,X,4,....XO..X,O,2,..O.XO..X
48,X,5,..O.XO..X,X,6,..O.XOX.X
48,X,6,..O.XOX.X,O,1,.OO.XOX.X
48,X,7,.OO.XOX.X,X,0,XOO.XOX.X
49,O,1,.........,X,3,...X.....
49,O,2,...X.....,O,6,...X..O..
49,O,3,...X..O..,X,0,X..X..O..
49,O,4,X..X..O..,O,4,X..XO.O..
49,O,5,X..XO.O..,X,5,X..XOXO..
49,O,6,X..XOXO..,O,1,XO.XOXO..
49,O,7,XO.XOXO..,X,8,XO.XOXO.X
49,O,8,XO.XOXO.X,O,7,XO.XOXOOX
50,X,1,.........,X,4,....X....
50,X,2,....X....,O,2,..O.X....
50,X,3,..O.X....,X,1,.XO.X....
50,X,4,.XO.X....,O,6,.XO.X.O..
50,X,5,.XO.X.O..,X,8,.XO.X.O.X
50,X,6,.XO.X.O.X,O,5,.XO.XOO.X
50,X,7,.XO.XOO.X,X,7,.XO.XOOXX
51,O,1,.........,X,4,....X....
51,O,2,....X....,O,2,..O.X....
51,O,3,..O.X....,X,5,..O.XX...
51,O,4,..O.XX...,O,0,O.O.XX...
51,O,5,O.O.XX...,X,8,O.O.XX..X
51,O,6,O.O.XX..X,O,3,O.OOXX..X
51,O,7,O.OOXX..X,X,7,O.OOXX.XX
51,O,8,O.OOXX.XX,O,1,OOOOXX.XX
52,X,1,.........,X,4,....X....
52,X,2,....X....,O,8,....X...O
52,X,3,....X...O,X,5,....XX..O
52,X,4,....XX..O,O,2,..O.XX..O
52,X,5,..O.XX..O,X,1,.XO.XX..O
52,X,6,.XO.XX..O,O,7,.XO.XX.OO
52,X,7,.XO.XX.OO,X,6,.XO.XXXOO
52,X,8,.XO.XXXOO,O,3,.XOOXXXOO
52,X,9,.XOOXXXOO,X,0,XXOOXXXOO
53,O,1,.........,X,2,..X......
53,O,2,..X......,O,7,..X....O.
53,O,3,..X....O.,X,8,..X....OX
53,O,4,..X....OX,O,3,..XO...OX
53,O,5,..XO...OX,X,5,..XO.X.OX
54,X,1,.........,X,4,....X....
54,X,2,....X....,O,8,....X...O
54,X,3,....X...O,X,5,....XX..O
54,X,4,....XX..O,O,3,...OXX..O
54,X,5,...OXX..O,X,2,..XOXX..O
54,X,6,..XOXX..O,O,0,O.XOXX..O
54,X,7,O.XOXX..O,X,6,O.XOXXX.O
55,O,1,.........,X,4,....X....
55,O,2,....X....,O,2,..O.X....
55,O,3,..O.X....,X,8,..O.X...X
55,O,4,..O.X...X,O,0,O.O.X...X
55,O,5,O.O.X...X,X,1,OXO.X...X
55,O,6,OXO.X...X,O,5,OXO.XO..X
55,O,7,OXO.XO..X,X,6,OXO.XOX.X
55,O,8,OXO.XOX.X,O,7,OXO.XOXOX
55,O,9,OXO.XOXOX,X,3,OXOXXOXOX
56,X,1,.........,X,4,....X....
56,X,2,....X....,O,3,...OX....
56,X,3,...OX....,X,8,...OX...X
56,X,4,...OX...X,O,7,...OX..OX
56,X,5,...OX..OX,X,6,...OX.XOX
56,X,6,...OX.XOX,O,0,O..OX.XOX
56,X,7,O..OX.XOX,X,2,O.XOX.XOX
57,O,1,.........,X,0,X........
57,O,2,X........,O,2,X.O......
57,O,3,X.O......,X,6,X.O...X..
57,O,4,X.O...X..,O,3,X.OO..X..
57,O,5,X.OO..X..,X,5,X.OO.XX..
57,O,6,X.OO.XX..,O,8,X.OO.XX.O
57,O,7,X.OO.XX.O,X,7,X.OO.XXXO
57,O,8,X.OO.XXXO,O,1,XOOO.XXXO
57,O,9,XOOO.XXXO,X,4,XOOOXXXXO
58,X,1,.........,X,4,....X....
58,X,2,....X....,O,2,..O.X....
58,X,3,..O.X....,X,1,.XO.X....
58,X,4,.XO.X....,O,8,.XO.X...O
58,X,5,.XO.X...O,X,7,.XO.X..XO
59,O,1,.........,X,6,......X..
59,O,2,......X..,O,5,.....OX..
59,O,3,.....OX..,X,1,.X...OX..
59,O,4,.X...OX..,O,7,.X...OXO.
59,O,5,.X...OXO.,X,3,.X.X.OXO.
59,O,6,.X.X.OXO.,O,2,.XOX.OXO.
59,O,7,.XOX.OXO.,X,0,XXOX.OXO.
60,X,1,.........,X,4,....X....
60,X,2,....X....,O,1,.O..X....
60,X,3,.O..X....,X,0,XO..X....
60,X,4,XO..X....,O,7,XO..X..O.
60,X,5,XO..X..O.,X,5,XO..XX.O.
60,X,6,XO..XX.O.,O,6,XO..XXOO.
60,X,7,XO..XXOO.,X,3,XO.XXXOO.
61,O,1,.........,X,3,...X.....
61,O,2,...X.....,O,6,...X..O..
61,O,3,...X..O..,X,7,...X..OX.
61,O,4,...X..OX.,O,4,...XO.OX.
61,O,5,...XO.OX.,X,0,X..XO.OX.
61,O,6,X..XO.OX.,O,2,X.OXO.OX.
62,X,1,.........,X,4,....X....
62,X,2,....X....,O,1,.O..X....
62,X,3,.O..X....,X,0,XO..X....
62,X,4,XO..X....,O,7,XO..X..O.
62,X,5,XO..X..O.,X,5,XO..XX.O.
62,X,6,XO..XX.O.,O,3,XO.OXX.O.
62,X,7,XO.OXX.O.,X,8,XO.OXX.OX
63,O,1,.........,X,6,......X..
63,O,2,......X..,O,5,.....OX..
63,O,3,.....OX..,X,4,....XOX..
63,O,4,....XOX..,O,0,O...XOX..
63,O,5,O...XOX..,X,8,O...XOX.X
63,O,6,O...XOX.X,O,7,O...XOXOX
63,O,7,O...XOXOX,X,3,O..XXOXOX
63,O,8,O..XXOXOX,O,2,O.OXXOXOX
63,O,9,O.OXXOXOX,X,1,OXOXXOXOX
64,X,1,.........,X,4,....X....
64,X,2,....X....,O,8,....X...O
64,X,3,....X...O,X,5,....XX..O
64,X,4,....XX..O,O,6,....XXO.O
64,X,5,....XXO.O,X,3,...XXXO.O
65,O,1,.........,X,8,........X
65,O,2,........X,O,4,....O...X
65,O,3,....O...X,X,1,.X..O...X
65,O,4,.X..O...X,O,5,.X..OO..X
65,O,5,.X..OO..X,X,0,XX..OO..X
65,O,6,XX..OO..X,O,6,XX..OOO.X
65,O,7,XX..OOO.X,X,3,XX.XOOO.X
65,O,8,XX.XOOO.X,O,2,XXOXOOO.X
66,X,1,.........,X,4,....X....
66,X,2,....X....,O,2,..O.X....
66,X,3,..O.X....,X,1,.XO.X....
66,X,4,.XO.X....,O,6,.XO.X.O..
66,X,5,.XO.X.O..,X,8,.XO.X.O.X
66,X,6,.XO.X.O.X,O,0,OXO.X.O.X
66,X,7,OXO.X.O.X,X,3,OXOXX.O.X
66,X,8,OXOXX.O.X,O,5,OXOXXOO.X
66,X,9,OXOXXOO.X,X,7,OXOXXOOXX
67,O,1,.........,X,5,.....X...
67,O,2,.....X...,O,8,.....X..O
67,O,3,.....X..O,X,2,..X..X..O
67,O,4,..X..X..O,O,6,..X..XO.O
67,O,5,..X..XO.O,X,4,..X.XXO.O
67,O,6,..X.XXO.O,O,3,..XOXXO.O
67,O,7,..XOXXO.O,X,0,X.XOXXO.O
67,O,8,X.XOXXO.O,O,7,X.XOXXOOO
68,X,1,.........,X,4,....X....
68,X,2,....X....,O,3,...OX....
68,X,3,...OX....,X,8,...OX...X
68,X,4,...OX...X,O,5,...OXO..X
68,X,5,...OXO..X,X,0,X..OXO..X
69,O,1,.........,X,5,.....X...
69,O,2,.....X...,O,8,.....X..O
69,O,3,.....X..O,X,4,....XX..O
69,O,4,....XX..O,O,6,....XXO.O
69,O,5,....XXO.O,X,0,X...XXO.O
69,O,6,X...XXO.O,O,3,X..OXXO.O
69,O,7,X..OXXO.O,X,2,X.XOXXO.O
69,O,8,X.XOXXO.O,O,7,X.XOXXOOO
70,X,1,.........,X,4,....X....
70,X,2,....X....,O,7,....X..O.
70,X,3,....X..O.,X,5,....XX.O.
70,X,4,....XX.O.,O,3,...OXX.O.
70,X,5,...OXX.O.,X,2,..XOXX.O.
70,X,6,..XOXX.O.,O,1,.OXOXX.O.
70,X,7,.OXOXX.O.,X,8,.OXOXX.OX
71,O,1,.........,X,2,..X......
71,O,2,..X......,O,7,..X....O.
71,O,3,..X....O.,X,4,..X.X..O.
71,O,4,..X.X..O.,O,8,..X.X..OO
71,O,5,..X.X..OO,X,5,..X.XX.OO
71,O,6,..X.XX.OO,O,6,..X.XXOOO
72,X,1,.........,X,4,....X....
72,X,2,....X....,O,3,...OX....
72,X,3,...OX....,X,8,...OX...X
72,X,4,...OX...X,O,6,...OX.O.X
72,X,5,...OX.O.X,X,0,X..OX.O.X
73,O,1,.........,X,2,..X......
73,O,2,..X......,O,7,..X....O.
73,O,3,..X....O.,X,6,..X...XO.
73,O,4,..X...XO.,O,4,..X.O.XO.
73,O,5,..X.O.XO.,X,8,..X.O.XOX
73,O,6,..X.O.XOX,O,1,.OX.O.XOX
74,X,1,.........,X,4,....X....
74,X,2,....X....,O,8,....X...O
74,X,3,....X...O,X,5,....XX..O
74,X,4,....XX..O,O,7,....XX.OO
74,X,5,....XX.OO,X,3,...XXX.OO
75,O,1,.........,X,0,X........
75,O,2,X........,O,2,X.O......
75,O,3,X.O......,X,8,X.O.....X
75,O,4,X.O.....X,O,3,X.OO....X
75,O,5,X.OO....X,X,4,X.OOX...X
76,X,1,.........,X,4,....X....
76,X,2,....X....,O,6,....X.O..
76,X,3,....X.O..,X,8,....X.O.X
76,X,4,....X.O.X,O,5,....XOO.X
76,X,5,....XOO.X,X,0,X...XOO.X
77,O,1,.........,X,7,.......X.
77,O,2,.......X.,O,0,O......X.
77,O,3,O......X.,X,1,OX.....X.
77,O,4,OX.....X.,O,4,OX..O..X.
77,O,5,OX..O..X.,X,8,OX..O..XX
77,O,6,OX..O..XX,O,6,OX..O.OXX
77,O,7,OX..O.OXX,X,5,OX..OXOXX
77,O,8,OX..OXOXX,O,2,OXO.OXOXX
78,X,1,.........,X,4,....X....
78,X,2,....X....,O,3,...OX....
78,X,3,...OX....,X,8,...OX...X
78,X,4,...OX...X,O,6,...OX.O.X
78,X,5,...OX.O.X,X,0,X..OX.O.X
79,O,1,.........,X,2,..X......
79,O,2,..X......,O,7,..X....O.
79,O,3,..X....O.,X,6,..X...XO.
79,O,4,..X...XO.,O,4,..X.O.XO.
79,O,5,..X.O.XO.,X,0,X.X.O.XO.
79,O,6,X.X.O.XO.,O,1,XOX.O.XO.
80,X,1,.........,X,4,....X....
80,X,2,....X....,O,5,....XO...
80,X,3,....XO...,X,8,....XO..X
80,X,4,....XO..X,O,1,.O..XO..X
80,X,5,.O..XO..X,X,0,XO..XO..X
81,O,1,.........,X,6,......X..
81,O,2,......X..,O,5,.....OX..
81,O,3,.....OX..,X,8,.....OX.X
81,O,4,.....OX.X,O,0,O....OX.X
81,O,5,O....OX.X,X,7,O....OXXX
82,X,1,.........,X,4,....X....
82,X,2,....X....,O,3,...OX....
82,X,3,...OX....,X,8,...OX...X
82,X,4,...OX...X,O,2,..OOX...X
82,X,5,..OOX...X,X,1,.XOOX...X
82,X,6,.XOOX...X,O,7,.XOOX..OX
82,X,7,.XOOX..OX,X,5,.XOOXX.OX
82,X,8,.XOOXX.OX,O,0,OXOOXX.OX
82,X,9,OXOOXX.OX,X,6,OXOOXXXOX
83,O,1,.........,X,7,.......X.
